"Page","Item","Description","CaseCount","Retail","UPC"
"5","50606","BB Egg Salad Haw.5.1oz.FR","12","$4.99","677684412063"
"5","50608","BB Tky & Ched.Crsnt 6.2oz.FR","12","$6.99","677684412087"
"5","50609","BB Ham & Swiss Crsnt 6.2oz.FR","12","$6.99","67768412094"
"5","50624","BB Tky Pesto Ciabatta 9.3oz.FR","12","$6.99","677684414241"
"5","50679","BB Tuna Salad/Honey Oat 5.1oz.FR","12","$4.99","677684412070"
"5","50682","BB Monte Cristo 13.7oz.FR","12","$7.99","677684414821"
"5","50683","BB Reuben 9.6oz.FR","12","$7.99","677684414838"
"5","50684","BB Cuban Special FR","12","$6.99","677684414845"
"7","50319","Freshwich Turkey Cheddar Sub 5.5 oz","6","$6.99","633920603190"
"7","50320","Freshwich Ham & Swiss Sub 5.5 oz","6","$6.99","633920603206"
"7","50321","Freshwich American Club 5.5 oz","6","$6.99","633920603213"
"7","50322","Freshwich Italian Club 5.5 oz","6","$6.99","633920603220"
"8","21600","Johnson Smokehouse Cascade Trail Mix 4 oz","24","$6.99","86000260600"
"8","21601","Johnson Spicy Southwest Trail Mix 4 oz","24","$6.99","86000260601"
"8","21602","Johnson Sweet & Spicy Teriyaki Trail Mix 4 oz","24","$6.99","86000260602"
"8","21603","Johnson Northwest Style Trail Mix 4 oz","24","$6.99","86000260603"
"9","60407","Wisconsin's Best Cheddar Stick Combo 3.75 oz","12","$4.99","813608014078"
"9","60409","Wisconsin's Best Pepper Jack Combo 3.75 oz","12","$4.99","813608014092"
"9","60464","Wisconsin's Best Mixed Cheese Curds 4 oz","8","$4.99","813608014641"
"9","60468","Wisconsin's Best Garlic Dill Curds 4 oz","8","$4.99","813608014689"
"9","60482","Wisconsin's Best Medium Cheddar 2 oz","24","$1.99","813608010827"
"9","60483","Wisconsin's Best Colby Jack 2 oz","24","$1.99","813608010834"
"10","60100","Cheesewich Mozzarella String Cheese 1 oz","24","$0.99","709893107109"
"10","60110","Cheesewich Cheddar Cheese 1 oz","24","$0.99","709893110109"
"10","60131","Cheesewich Baconwich 1.17 oz","12","$2.19","709893020316"
"10","60200","Cheesewich Hard Salami & Colby Jack 2.5 oz","16","$3.49","709893002008"
"10","60300","Cheesewich Hard Salami & Pepper Jack 2.5 oz","16","$3.49","709893003005"
"11","21062","Original Beef Stick 1 oz","12","$2.29","819388020629"
"11","21065","Jalapeño Cheddar Stick 1 oz","12","$2.29","819388020650"
"12","60004","Beecher's Flagship Cheese Sticks (Extra Sharp)","24","$1.99","782045100043"
"12","60005","Beecher's Marco Polo Cheese Sticks","24","$1.99","782045100654"
"13","61992","Van Holten Warheads Sour","12","$1.99","038200000320"
"13","61996","Van Holten Dill Pickle","12","$1.99","038200000063"
"13","61997","Van Holten Kosher Pickle","12","$1.99","038200000070"
"13","61999","Van Holten Hot Pickle","12","$1.99","038200000094"
"14","61925","Oh Snap! Sassy Bites 3.25 oz","12","$2.29","074329123252"
"14","61936","Oh Snap! Gone Dilly Whole Pickle 3 oz","12","$2.29","074329123368"
"14","61937","Oh Snap! Hottie Whole Pickle 3 oz","12","$2.29","074329123375"
"14","61938","Oh Snap! Dilly Bites 3.25 oz","12","$2.29","074329123382"
"15","22180","Hillshire Snacking Wine Infused Salame 2.76 oz","12","$3.99","044500064803"
"15","22181","Hillshire Snacking Genoa Salame 2.76 oz","12","$3.99","044500201819"
"15","22182","Hillshire Snacking Italian Salame 2.76 oz","12","$3.99","044500201826"
"16","84001","Ne-Mo's Carrot Cake","6","$2.99","076064002045"
"16","84002","Ne-Mo's Banana Cake","6","$2.99","076064003042"
"16","84003","Ne-Mo's Chocolate Cake","6","$2.99","076064001048"
"16","84004","Ne-Mo's Strawberry Cake","6","$2.99","076064050862"
"18","53414","THE BOMB Beef, Bean, Cheese, & Red Chile 12 oz","12","$4.79","027086189146"
"18","53415","THE BOMB Beef, Bean, Cheese, & Green Chile 12 oz","12","$4.79","027086189153"
"18","53416","THE BOMB Spicy Red Hot ¼ lb/12 oz","12","$4.79","027086189160"
"18","53431","DM Bacon & Egg Burrito 7 oz","12","$3.99","027086184318"
"18","53432","DM Sausage & Egg Burrito 7 oz","12","$3.99","027086184325"
"18","53450","DM Whole 9 Yards Burrito 7 oz","12","$3.99","027086184509"
"18","53575","DM Triple Play Burrito 7 oz","12","$3.99","027086285756"
"18","53812","DM Taquitos Spicy Beef Bulk 4 oz","24","$2.19",""
"18","53879","DM Taquitos Ckicken & Cheese Bulk 4 oz","24","$2.19",""
"18","53882","DM Taquitos Egg & Sausage Bulk 4 oz","24","$2.19",""
"19","53017","XXL Bean & Cheese Burrito 9.5 oz","12","$2.59","071007062179"
"19","53060","XXL Beef, Bean & Grn Chili Burrito 9.5 oz","12","$2.59","071007024603"
"19","53069","XXL Spicy Red Hot Burrito 9.5 oz","12","$2.59","071007031694"
"19","53082","XXL Beef & Bean Burrito 9.5 oz","12","$2.59","071007015823"
"20","53016","Tornado Cheese & Pepperoni 3oz.","24","$1.99","071007864162"
"20","53037","Tornado Southwest Chicken 3oz.","24","$1.99","071007867378"
"20","53044","Tornado Cheesy Pepper Jack 3oz.","24","$1.99","071007860447"
"20","53090","Tornado Ranchero Beef & Cheese 3oz.","24","$1.99","071007863905"
"20","53144","Tornado Egg Bacon & Salsa 3oz.","24","$1.99","071007861444"
"20","53159","Tornado Egg Sausage & Cheese 3oz.","24","$1.99","071007868597"
"20","53168","Tornado French Toast 3oz.","24","$1.99","07100786287"
"21","53089","Kimbap Vegetable","24","$4.99","8809881951089"
"21","53096","Kimbap Bulgogi","24","$4.99","8809981951096"
"22","50232","JD Canadian Bacon Egg Cheese Muffin","12","$3.29","077900513329"
"22","50233","JD Sausage Egg Cheese Muffin","12","$3.29","077900513336"
"22","50256","JD Sausage Egg Pancake","12","$3.29","077900118562"
"22","50259","JD Sausage Egg Cheese Croisaant","12","$3.29","077900118593"
"22","50268","JD Ham Egg Cheese Muffin","12","$3.29","077900513685"
"22","50272","JD Sausage Egg Cheese Bagel","12","$3.29","077900513725"
"22","50274","JD Sausage Egg Cheese Biscuit","12","$3.29","077900513749"
"23","50012","Raybern's Roast Beef & Cheddar Melt","8","$3.99","766626200117"
"23","50069","Raybern's Chicken Bacon Ranch Sandwich","8","$3.99","766626200131"
"23","50071","Raybern's Philly Cheesesteak Sandwich","8","$3.99","766626200186"
"23","50087","Raybern's BBQ Pulled Pork Sandwich","8","$3.99","766626200155"
"24","50700","Big Az Country Fried Chicken w/Cheese","8","$4.69","071421110005"
"24","50715","Big Az Bacon Addict Burger 9.35","10","$4.69","071421943153"
"24","50731","Big Az Kickin' Jalapeno w/Cheese 9.7","10","$4.69","071421963151"
"24","50775","Big Az Angus Cheddar 8.7oz.","8","$4.69","071421014754"
"24","50784","Big Az Beef Charbroil w/Cheese 8.9","10","$4.69","071421579840"
"25","56702","Hot Pockets Ham & Cheese 8 oz","12","$3.49","043695097023"
"25","56703","Hot Pockets Pepperoni Pizza 8 oz","12","$3.49","043695097030"
"25","56734","Hot Pockets Philly Cheesesteak 8 oz","12","$3.49","043695097344"
"26","87995","Fla-Vor-Ice 5.5 oz, 45 Ct Box","45","$0.99","072392998456"
"35","84106","Apple Turnover Danish 5 oz","24","$2.79","035751111064"
"35","84107","Bear Claw 5 oz","24","$2.79","035751111071"
"35","84109","Cheese N Berries Danish 5 oz","24","$2.79","035751111095"
"35","84111","Caramel Chocolatier 5 oz NEW","24","$2.79","035751112115"
"35","84113","Cheese Croissant 5 oz","24","$2.79","035751111132"
"35","84114","Blueberry Danish 5 oz","24","$2.79","035751111149"
"35","84115","Caramel Crème Danish 5 oz NEW","24","$2.79","035751111156"
"35","84117","White Concha 5 oz","20","$2.79","035751117004"
"35","84206","Lemon Cheese Danish 4.6 oz","30","$2.79","035751112061"
"35","84208","Strawberries N Crème Danish 4.6 oz","30","$2.79","035751112085"
"35","84310","Blueberry Muffin 5 oz","30","$2.79","035751113105"
"35","84312","Chocolate Chocolate Muffin 5 oz","30","$2.79","035751113129"
"35","84314","Banana Nut Muffin 5 oz","30","$2.79","035751113129"
"35","84316","Strawberry Cheese Muffin 5 oz","30","$2.79","035751113167"
"35","84425","Banana Bread Cake 4 oz","48","$2.79","035751114256"
"35","84427","Cheese Cake 4 oz","48","$2.79","035751114270"
"35","84428","Lemon Cake 4 oz","48","$2.79","035751114287"
