"Page","Item","Description","CaseCount","Retail","UPC"
"1","87980","BUBS Asst.Shipper 5.5oz/32ct","32","$4.99","87980"
"1","","BUBS Sour Tutti Frutti 5.5oz","8","","051756020064"
"1","","BUBS Sour Strw. Van. 5.5oz","8","","051756021061"
"1","","BUBS Banana Toffee 5.5oz","8","","051756022068"
"1","","BUBS Sour Lemon Rasp 5.5oz","8","","051756023065"
"2","87472","Munch Mallows Shipp.72ct","72","$6.99","198625008195"
"2","","Jumbo Munch Mallows 6oz","18","","198625008232"
"2","","Tooty Frooty Munch Mallows 7oz","18","","198625008256"
"2","","MIXED Munch Mallows 7oz","18","","198625008270"
"2","","Sour Munch Mallows 5oz","18","","198625008317"
"3","87470","Candy Salad Floor Shipp.60ct","60","$6.99","754814051221"
"4","87032","Hi-Chew Wire Disp.105ct","105","$1.99","873983000011"
"4","","Hi-Chew Blue Rasp.Box","30","","850017589773"
"4","","Hi-Chew Straw.Box","30","","87398300002"
"4","","Hi-Chew Watermelon Bx","30","","85168100866"
"4","","Hi-Chew Grape Box","15","","87398300001"
"5","87025","Hi-Chew Box - Grape","15","$1.79","873983000011"
"5","87026","Hi-Chew Box - Strawberry","15","$1.79","873983000028"
"5","87027","Hi-Chew Box – Green Apple","15","$1.79","873983000035"
"5","87028","Hi-Chew Box - Mango","15","$1.79","873983000059"
"5","87029","Hi-Chew Box – Blue Raspberry","15","$1.79","850017589773"
"5","87030","Hi-Chew Box - Watermelon","15","$1.79","851681008669"
"5","87016","Hi-Chew Fantasy Mix","6","$3.29","850017589209"
"5","87017","Hi-Chew Getaway Mix","6","$3.29","850017589742"
"5","87018","Hi-Chew Berry Mix","6","$3.29","850017589056"
"5","87019","Hi-Chew Sweet & Sour Mix","6","$3.29","851681008126"
"5","87020","Hi-Chew Original Regular Mix","6","$3.29","873983005047"
"5","87021","Hi-Chew Tropical Mix","6","$3.29","873983005054"
"5","87023","Hi-Chew SuperFruit Mix","6","$3.29","851681008102"
"5","87040","Hi-Chew Original 12.7 oz","6","$9.99","851681008379"
"5,"87036","Hi-Chew Infrusions Orchard Mix","12","$4.99","850017589469"
"5","87022","H-Soft Salted Caramel Chews","6","$3.29","857983004217"
"5","87014","Hi-Chew Dessert Mix 3 oz","6","$3.29","857983004293"
"5","87012","Hi-Chew Gummies 4.23 oz","9","$2.99","850017589476"
"5","87013","Hi-Chew Gummies Sour 4.23 oz","9","$2.99","850017589483"
"6","87101","Cassis Butter Caramel 4oz.","12","$3.99","08562960010"
"6","87102","Cassis Pecan Caramel 4oz.","12","$3.99","08562960020"
"6","87103","Cassis Vanilla Sea Salt Caramel 4oz.","12","$3.99","08562960090"
"7","87110","J. Morgan Butter Caramels","45","$0.39","8562902110"
"7","87150","J. Morgan Licorice Caramels","45","$0.39","8562902150"
"7","87190","J. Morgan Vanilla Sea-Salt Caramels","45","$0.39","8562902190"
"8","87529","eFrutti Lunch Bag","12","$2.99","813805002298"
"8","87530","eFrutti Taco Twosday","12","$2.99","813805000324"
"8","87531","eFrutti Movie Bag","12","$2.99","813805002328"
"8","87532","eFrutti Bakery Shoppe","12","$2.99","813805000096"
"8","87540","eFrutti Creamy Strawberry Batch 3.5 oz","12","$1.99","813805000348"
"8","87541","eFrutti Watermelon Wedges 3.5 oz","12","$1.99","813805000355"
"8","87542","eFrutti Sweet & Sour Apple Trio 3.5 oz","12","$1.99","813805000393"
"8","87533","Herbert's Planet Gummi 2.6 oz","12","$4.99","813805990038"
"8","87534","Herbert's Gummi Eyez 2.6 oz","12","$4.99","813805990045"
"9","87100","Albert's Ice Cubes 125 ct/pack","250","$0.59","072084000061"
"10","87003","Rocket Chocolate Hazelnut","50","$0.89","97729901305"
"10","87005","Rocket Chocolate Mint","50","$0.89","97729901008"
"10","87006","Rocket Chocolate Mocha","50","$0.89","97729901107"
"10","87007","Rocket Chocolate Toffee Latte","50","$0.89","97729901602"
"10","87008","Rocket Chocolate Raspberry","50","$0.89","97729901404"
"10","87009","Rocket Chocolate Peanut Butter","50","$0.89","97729901206"
"10","87011","Rocket Dark Chocolate Mint","50","$0.89","97729090207"
"11","87001","Turbo Truffles Mint Singles","50","$0.79","780182100018"
"11","87002","Turbo Truffles Coffee Craze","50","$0.79","780182400018"
"12","85729","5-Hour Energy 16 box Display 192 ct","192","$2.99","85729"
"12","85701","5-Hour Energy RS Pomegranate","12","$3.29","719410800017"
"12","85702","5-Hour Ultimate Gamer NEW!","12","$3.49","719410725006"
"12","85703","5-Hour XS Transfusion NEW!","12","$3.49","715410186005"
"12","85704","5-Hour XS Tidal Twist","12","$3.49","719410776008"
"12","85708","5-Hour XS Peach Mango","12","$3.49","719410750015"
"12","85709","5-Hour XS Strawberry/Watermelon","12","$3.49","719410740016"
"12","85710","5-Hour XS Berry","12","$3.49","719410700010"
"12","85711","5-Hour XS Watermelon","12","$3.49","719410775001"
"12","85712","5-Hour XS Hawaiian Breeze","12","$3.49","719410784003"
"12","85713","5-Hour XS Tropical Burst","12","$3.49","719410785000"
"12","85714","5-Hour XS Blue Raspberry","12","$3.49","719410760014"
"12","85715","5-Hour RS Grape","12","$3.29","719410200015"
"12","85716","5-Hour RS Berry","12","$3.29","719410500016"
"12","85717","5-Hour XS Sour Apple","12","$3.49","719410730017"
"12","85718","5-Hour XS Grape","12","$3.49","719410720018"
"12","85719","5 Hour XS Strawberry/Banana","12","$3.49","719410786007"
"13","85730","5-Hour Energy 16 box Refill Kit 192 ct","192","$2.99","85730"
"14","85921","Vivazen Energy & Focus 1.9 oz","12","$5.99","609465149325"
"14","85920","Vivazen 2X Pain Relief 1.9 oz","12","$8.99","628504926567"
"14","85918","Vivazen Relax 1.9 oz","12","$6.99","628504926567"
"14","85926","Vivazen Relax & Unwind","12","$8.99","628504926864"
"14","85924","Vivazen C80 Extract Shot","12","$13.99","628504926338"
"14","85927","Vivazen Ultimate Honey","12","$14.99","628504926277"
"14","85919","Vivazen C120 Ultimate MIT130 shot","12","$17.99","628504926123"
"14","85917","Vivazen Tower Display (save $$)","60","",""
"15","85818","MIT45 Liquid Gold","12","$19.99","81049700033"
"15","85886","MIT45 Super K Special Edition","12","$14.99","81049700057"
"15","85807","MIT45 Super K Extra Strength","12","$29.99","810149700071"
"16","85734","Kanva Focus + Flow","12","$9.99","850041279343"
"16","85741","Kanva Kanna + Kava","12","$9.99","850041279411"
"16","85744","Kanva Zoom Eighty","12","$6.99","850041279442"
"16","85748","Kanva Mango Tango","12","$9.99","703674239188"
"16","85796","Kanva Asst. Tower Display","96","","85796"
"17","90077","HookUps Tech Acc. Disp.120ct","120","$9.39","840124195455"
"17","90205","H.Ups Plus 20w Dual Car Charge","12","$14.99","840124176058"
"17","90206","H.Ups Plus 20wDual Wall Charge","12","$14.99","840124176065"
"17","90295","H.Ups Plus 8-Pin to USB Cable","12","$7.99","840124175952"
"17","90296","H.Ups Plus Type C to USB Cable","12","$7.99","840124175969"
"17","90297","H.Ups Plus 8-Pin to Type-C","12","$7.99","840124175976"
"17","90298","H.Ups Plus Type-C to Type-C","12","$7.99","840124175983"
"18","90300","Volt Designer Spin.Rack 120 ct","120","",""
"18","90333","Volt Fast Car Charger","10","$12.99",""
"18","90334","Volt Fast Wall Charger","10","$14.99",""
"18","90316","Volt CLASSIC 10FT Cable - iPhone","","$10.99",""
"18","90317","Volt CLASSIC 10FT Cable - Type C","","$10.99",""
"18","90318","Volt CLASSIC 10FT Cable - Micro USB","","$10.99",""
"18","90313","Volt STUDIO 10FT Cable - iPhone","","$10.99",""
"18","90314","Volt STUDIO 10FT Cable - Type C","","$10.99",""
"18","","Volt STUDIO 10FT Cable - Micro USB","","$10.99",""
"18","90310","Volt SELECT 10FT Cable - iPhone","","$10.99",""
"18","90311","Volt SELECT 10FT Cable - Type C","","$10.99",""
"18","90319","Volt SELECT 10FT Cable - Micro USB","","$10.99",""
"18","","Volt TOUGH 10FT Cable - Triple Tip","","$14.99",""
"18","90301","Volt Fast Charge 10FT Cable - iPhone","","$14.99",""
"18","90302","Volt Fast Charge 10FT Cable - Type C","","$14.99",""
"18","90305","Volt Fast Ch STUDIO 10FT Cable - iPhone","","$14.99",""
